ID USERNAME CASH CASH_BROKER CASH_BANK CASH_FREE CASH_SAFETYBAG CASH_FIRSTDREAM CASH_SECONDDREAM PUT_BROKER PUT_BANK PERCENT_SAFETYBAG PERCENT_FIRSTDREAM PERCENT_SECONDDREAM

4 MindWin 60724.602 29552.0925 31305.0095 0 4624.13 14760.38 11919.76 0 0 14.771214172607 47.150217283914 38.076206301742 

4 MindWin 61258.432 29552.0925 31305.0095 53.383 4624.13 14760.38 11919.76 200.18625 280.26075 14.771214172607 47.150217283914 38.076206301742 

4 MindWin 61258.432 29552.0925 31585.27025 53.383 4690.86 14867.15 12026.53 200.18625 0 14.851416381343 47.069883785465 38.076387837777 

4 MindWin 61887.532 29552.0925 31585.27025 116.293 4690.86 14867.15 12026.53 436.09875 330.2775 14.851416381343 47.069883785465 38.076387837777 

4 MindWin 61850.532 29552.0925 31585.27025 79.293 4690.86 14867.15 12026.53 436.09875 330.2775 14.851416381343 47.069883785465 38.076387837777 

4 MindWin 62850.532 29552.0925 31585.27025 179.293 4690.86 14867.15 12026.53 811.09875 855.2775 14.851416381343 47.069883785465 38.076387837777 

4 MindWin 62900.532 29552.0925 31585.27025 184.293 4690.86 14867.15 12026.53 829.84875 881.5275 14.851416381343 47.069883785465 38.076387837777 

4 MindWin 62900.532 29552.0925 32466.79775 184.293 4900.75 15202.97 12362.35 829.84875 0 15.094651581399 46.826207244292 38.076899653585 

4 MindWin 62895.532 29552.0925 32466.79775 179.293 4900.75 15202.97 12362.35 829.84875 0 15.094651581399 46.826207244292 38.076899653585 

4 MindWin 62895.532 30381.94125 32466.79775 179.293 4900.75 15202.97 12362.35 0 0 15.094651581399 46.826207244292 38.076899653585 


4 MindWin 63006.532 30381.94125 32466.79775 175.093 4900.75 15202.97 12362.35 48 67.2 15.094651581399 46.826207244292 38.076899653585 


4 MindWin 64006.532 30381.94125 32466.79775 275.093 4900.75 15202.97 12362.35 423 592.2 15.094651581399 46.826207244292 38.076899653585 


4 MindWin 60122.59075 26498 32466.79775 275.093 4900.75 15202.97 12362.35 423 592.2 15.094651581399 46.826207244292 38.076899653585 


52 123 19500 3750 15250 500 3630.95 5809.52 5809.52 0 0 23.809508196721 38.095213114754 38.095213114754 


52 123 219500 3750 15250 20500 3630.95 5809.52 5809.52 75000 105000 23.809508196721 38.095213114754 38.095213114754 

56 newuser 1000000 0 0 100000 0 0 0 375000 525000 23.809523 38.095239 38.095238 

4 MindWin 60122.59075 26921 33058.99775 275.093 5041.75 15428.57 12587.95 0 0 15.250764823928 46.669805650717 38.077228157953 

52 123 216500 3750 12250 20500 3630.95 5809.52 2809.52 75000 105000 29.640408163265 47.424653061224 22.934857142857 

52 123 214500 3750 10250 20500 1630.95 5809.52 2809.52 75000 105000 15.911707317073 56.678243902439 27.409951219512 

52 123 1214500 3750 10250 120500 1630.95 5809.52 2809.52 450000 630000 15.911707317073 56.678243902439 27.409951219512 

52 123 1214500 3750 640250 120500 151630.94 245809.53 242809.52 450000 0 23.683083170636 38.392741897696 37.924173369777 

4 MindWin 59982.69075 26921 33058.99775 135.193 5041.75 15428.57 12587.95 0 0 15.250764823928 46.669805650717 38.077228157953 

52 123 1214500 453750 640250 120500 151630.94 245809.53 242809.52 0 0 23.683083170636 38.392741897696 37.924173369777 

4 MindWin 62158.89075 26921 33058.99775 352.813 5041.75 15428.57 12587.95 816.075 1142.505 15.250764823928 46.669805650717 38.077228157953 

4 MindWin 62158.89075 26921 34201.50275 352.813 5313.77 15863.81 13023.19 816.075 0 15.536656499691 46.383371268679 38.077829781909 

4 MindWin 62158.89075 27737.075 34201.50275 352.813 5313.77 15863.81 13023.19 0 0 15.536656499691 46.383371268679 38.077829781909 

4 MindWin 62658.89075 27737.075 34201.50275 402.813 5313.77 15863.81 13023.19 187.5 262.5 15.536656499691 46.383371268679 38.077829781909 

4 MindWin 62658.89075 27924.575 34464.00275 402.813 5376.27 15963.81 13123.19 0 0 15.599667975305 46.320243518435 38.077962374814 

52 123 1215000 453750 640250 120550 151630.94 245809.53 242809.52 187.5 262.5 23.683083170636 38.392741897696 37.924173369777 
